date,open,high,low,close,volume,trend
2/4/2022,35089.73828,35333.55078,34799.07813,35095.73828,349880000,down
2/7/2022,35091.12891,35325.01172,34993.98047,35108.37891,328910000,up
2/8/2022,35462.78125,35544.89063,35090.42188,35160.67969,319190000,up
2/9/2022,35768.05859,35824.28125,35614.89844,35614.89844,333610000,up
2/10/2022,35241.58984,35800.23828,35100.71875,35630.80859,411620000,up
2/11/2022,34738.05859,35431.14844,34620.51953,35267.89063,398860000,down
2/14/2022,34566.17188,34744.55859,34304.28125,34694.5,370320000,down
2/15/2022,34988.83984,35047.78906,34686.19141,34686.19141,305670000,down
2/16/2022,34934.26953,35042.08984,34642.64063,34951.82813,294410000,up
2/17/2022,34312.03125,34858.46875,34246.23047,34858.46875,348720000,down
2/18/2022,34079.17969,34423.57813,33976.17969,34310.44922,414080000,down
2/22/2022,33596.60938,34024.73828,33364.28906,33974.08984,432090000,down
2/23/2022,33131.76172,33832.58984,33084.89844,33680.96875,370600000,down
2/24/2022,33223.82813,33269.33984,32272.64063,32830.32813,590850000,down
2/25/2022,34058.75,34095.73828,33277.21875,33277.21875,417630000,up
2/28/2022,33892.60156,33963.62891,33469.30859,33870.62109,443460000,up
3/1/2022,33294.94922,33870.14063,33107.67188,33813.48047,438730000,down
3/2/2022,33891.35156,34013.67188,33379.51172,33379.51172,400920000,down
3/3/2022,33794.66016,34179.07031,33641.53125,33972.87109,369740000,up
3/4/2022,33614.80078,33655.42969,33254.12109,33655.42969,408390000,down
3/7/2022,32817.37891,33579.75,32806.14844,33579.75,488400000,down
3/8/2022,32632.64063,33402.98047,32578.73047,32885.17188,553750000,down
3/9/2022,33286.25,33457.28125,32860.42188,32860.42188,418670000,down
3/10/2022,33174.07031,33236.58984,32819.76172,33106.76953,399480000,up
3/11/2022,32944.19141,33515.60938,32911.89063,33279.71875,369480000,up
3/14/2022,32945.23828,33395.58984,32818.16016,33000.37109,394940000,down
3/15/2022,33544.33984,33620.83984,32989.26953,32989.26953,388810000,down
3/16/2022,34063.10156,34075.94141,33391.23828,33653.92969,427400000,up
3/17/2022,34480.76172,34483.92188,33896.05859,33995.39063,339470000,up
3/18/2022,34754.92969,34755.19922,34279.82813,34466.71875,615420000,up
3/21/2022,34552.98828,34808.28125,34341.80859,34669.85156,408490000,up
3/22/2022,34807.46094,34882.03125,34583.23828,34583.23828,368550000,down
3/23/2022,34358.5,34748.83984,34352.96094,34748.83984,347880000,up
3/24/2022,34707.94141,34713.55859,34355.42188,34406.80859,324870000,down
3/25/2022,34861.23828,34942.69922,34631.51953,34702.39063,285440000,up
3/28/2022,34955.89063,34957.92969,34552.23047,34833.03125,299790000,up
3/29/2022,35294.19141,35372.26172,35030.07031,35114.35156,355050000,up
3/30/2022,35228.80859,35361.35938,35058.57813,35273.62891,317320000,up
3/31/2022,34678.35156,35201.51953,34677.98828,35201.51953,433400000,down
4/1/2022,34818.26953,34847.91016,34538.25,34740.89063,340400000,down
4/4/2022,34921.87891,34940.78125,34615.37891,34799.98047,316570000,up
4/5/2022,34641.17969,35112.21094,34566.03906,34876.32813,304010000,up
4/6/2022,34496.51172,34609.83984,34277.17188,34520.33984,386250000,down
4/7/2022,34583.57031,34705.82813,34190.94922,34439.23828,319870000,down
4/8/2022,34721.12109,34908.46094,34470.19141,34569.23828,301750000,up
4/11/2022,34308.07813,34701.33984,34272.28906,34630.26953,333290000,up
4/12/2022,34220.35938,34669.96875,34102.80859,34412.51172,333510000,down
4/13/2022,34564.58984,34598.35938,34140.64063,34166.64063,313630000,down
4/14/2022,34451.23047,34889.17188,34437.5,34628.46094,353680000,up
4/18/2022,34411.69141,34618.28906,34279.07813,34411.48828,264110000,down
4/19/2022,34911.19922,34983.10938,34394.62109,34394.62109,296350000,down
4/20/2022,35160.78906,35315.39844,34962.67188,34962.67188,337620000,up
4/21/2022,34792.76172,35492.21875,34723.82031,35258.80078,366390000,up
4/22/2022,33811.39844,34727.37891,33773.39063,34727.37891,373280000,down
4/25/2022,34049.46094,34106.01172,33323.37109,33731.64844,416900000,down
4/26/2022,33240.17969,33909.51172,33230.94922,33907.48828,400020000,up
4/27/2022,33301.92969,33697.17969,33108.89063,33450.92188,447230000,down
4/28/2022,33916.39063,34054.78906,33248.46094,33425.96094,440380000,down
4/29/2022,32977.21094,33919.58984,32913.14844,33787.01172,501560000,up
5/2/2022,33061.5,33224.94922,32449.86914,32978.48828,453390000,down
5/3/2022,33128.78906,33341.57813,32914.75,33086.08984,364420000,up
5/4/2022,34061.05859,34117.73828,33021.83984,33171.80078,411060000,up
5/5/2022,32997.96875,33854.17188,32685.09961,33854.17188,448420000,up
5/6/2022,32899.37109,33055.83984,32474.68945,32773.87891,416520000,down
5/9/2022,32245.69922,32685.16992,32121.98047,32685.16992,470770000,down
5/10/2022,32160.74023,32752.16992,31887.89063,32504.08984,439290000,down
5/11/2022,31834.10938,32584.01953,31798.85938,32123.24023,458460000,down
5/12/2022,31730.30078,31914.46094,31228.2207,31699.03906,544240000,down
5/13/2022,32196.66016,32276.05078,31862.78906,31963.85938,388520000,up
5/16/2022,32223.41992,32514.01953,31928.17969,32152.15039,330030000,up
5/17/2022,32654.58984,32689.14063,32308.15039,32427,389310000,up
5/18/2022,31490.07031,32468.66992,31393.94922,32468.66992,465060000,up
5/19/2022,31253.13086,31569.13086,31016.41016,31262.61914,517190000,down
5/20/2022,31261.90039,31515.7793,30635.75977,31426.93945,495510000,up
5/23/2022,31880.24023,31968.41992,31395.89063,31395.89063,402010000,down
5/24/2022,31928.61914,32014.85938,31365.58984,31717.60938,382950000,up
5/25/2022,32120.2793,32254.43945,31754.33008,31816.31055,343460000,up
5/26/2022,32637.18945,32774.14063,32248.16992,32248.16992,351220000,up
5/27/2022,33212.96094,33213.62109,32682.00977,32735.08984,328770000,up
5/31/2022,32990.12109,33240.21875,32752.33984,33160.58984,533560000,up
6/1/2022,32813.23047,33272.33984,32584.75977,33156.30859,338210000,down
6/2/2022,33248.28125,33248.60938,32509.42969,32809.01172,333210000,down
6/3/2022,32899.69922,33135.60938,32839.21094,32986.32031,298570000,up
6/6/2022,32915.78125,33235.37109,32819.5,33032.03906,253010000,up
6/7/2022,33180.14063,33207.44922,32641.84961,32783.03125,270750000,down
6/8/2022,32910.89844,33156.5,32824.37109,33087.07031,270470000,up
6/9/2022,32272.78906,32956.73047,32267.7793,32828.62109,289710000,down
6/10/2022,31392.78906,32053.51953,31387.83984,32053.51953,362300000,down
6/13/2022,30516.74023,31144.91016,30373.7207,31144.91016,472290000,down
6/14/2022,30364.83008,30690.80078,30144.23047,30592.33984,366800000,down
6/15/2022,30668.5293,31011.9707,30185.08008,30570.5,392670000,down
6/16/2022,29927.07031,30305.74023,29740.34961,30305.74023,442910000,down
6/17/2022,29888.7793,30167.51953,29653.28906,29912.69922,692830000,down
6/21/2022,30530.25,30653.98047,30074.68945,30074.68945,376900000,up
6/22/2022,30483.13086,30777.91992,30166.00977,30352.57031,343490000,up
6/23/2022,30677.35938,30715.63086,30293.40039,30570.33008,361420000,up
6/24/2022,31500.67969,31517.28906,30846.93945,30846.93945,465480000,up
6/27/2022,31438.25977,31598.58984,31351.36914,31533.59961,309910000,up
6/28/2022,30946.99023,31885.08984,30934.33008,31549.05078,350780000,up
6/29/2022,31029.31055,31152.96094,30894.5293,31067.41016,269390000,down
6/30/2022,30775.42969,30979.84961,30431.86914,30790,394070000,down
7/1/2022,31097.25977,31139.34961,30487.78906,30737.76953,310440000,down
7/5/2022,30967.82031,30971.74023,30355.11914,30903.11914,323080000,up
